A	B	DRB1	freq
1	7	0101	0.000632
1	7	0102	0.000014
1	7	0103	0.000354
1	7	0301	0.00025
1	7	0302	0
1	7	0304	0.000001
1	7	0305	0.000002
1	7	0401	0.000486
1	7	0402	0.000005
1	7	0403	0.000019
1	7	0404	0.000284
1	7	0405	0.000034
1	7	0407	0.000115
1	7	0408	0.000026
1	7	0409	0.000008
1	7	0410	0
1	7	0701	0.000328
1	7	0801	0.000135
1	7	0802	0
1	7	0803	0.00001
1	7	0804	0.00003
1	7	0807	0
1	7	0901	0.000039
1	7	1001	0.00007
1	7	1101	0.000235
1	7	1102	0.000005
1	7	1103	0.000015
1	7	1104	0.00005
1	7	1113	0.000001
1	7	1124	0.000001
1	7	1201	0.000131
1	7	1202	0.000003
1	7	1301	0.000258
1	7	1302	0.000469
1	7	1303	0.00002
1	7	1304	0
1	7	1305	0.000001
1	7	1310	0.000002
1	7	1323	0.000001
1	7	1401	0.000212
1	7	1402	0.000001
1	7	1404	0.000005
1	7	1405	0
1	7	1406	0
1	7	1407	0
1	7	1408	0
1	7	1410	0
1	7	1501	0.005224
1	7	1502	0.000009
1	7	1503	0.000001
1	7	1601	0.000063
1	7	1602	0.000002
1	7	1603	0
1	7	1608	0.000005
1	8	0101	0.00229
1	8	0102	0.000052
1	8	0103	0.000232
1	8	0301	0.062183
1	8	0302	0.000033
1	8	0303	0.000023
1	8	0304	0.000188
1	8	0305	0.000012
1	8	0306	0.000014
1	8	0307	0.000003
1	8	0308	0.000002
1	8	0315	0.000001
1	8	0401	0.002079
1	8	0402	0.000086
1	8	0403	0.000078
1	8	0404	0.001397
1	8	0405	0.000049
1	8	0407	0.000123
1	8	0408	0.000301
1	8	0409	0.000001
1	8	0410	0
1	8	0411	0
1	8	0422	0
1	8	0701	0.001945
1	8	0801	0.00052
1	8	0802	0.000018
1	8	0803	0.000036
1	8	0804	0.000018
1	8	0809	0
1	8	0810	0.000002
1	8	0813	0
1	8	0901	0.000373
1	8	1001	0.000085
1	8	1101	0.001208
1	8	1102	0.000081
1	8	1103	0.000044
1	8	1104	0.000359
1	8	1106	0.000002
1	8	1109	0
1	8	1110	0.000001
1	8	1116	0.000001
1	8	1201	0.000288
1	8	1202	0.000016
1	8	1301	0.001568
1	8	1302	0.000681
1	8	1303	0.000125
1	8	1304	0.000001
1	8	1305	0.000021
1	8	1306	0.000002
1	8	1308	0.000001
1	8	1310	0.000014
1	8	1311	0.000003
1	8	1315	0.000001
1	8	1318	0.000001
1	8	1320	0.000002
1	8	1322	0.000001
1	8	1323	0.000003
1	8	1324	0.000004
1	8	1342	0.000001
1	8	1349	0
1	8	1401	0.000647
1	8	1402	0
1	8	1404	0.000002
1	8	1405	0.000007
1	8	1406	0.000006
1	8	1407	0.000003
1	8	1408	0
1	8	1409	0.000005
1	8	1417	0.000003
1	8	1435	0
1	8	1501	0.003846
1	8	1502	0.000125
1	8	1503	0
1	8	1506	0
1	8	1601	0.000177
1	8	1602	0.000008
1	8	1604	0.000001
1	8	1608	0.000003
1	13	0101	0.00003
1	13	0102	0.000001
1	13	0103	0.000002
1	13	0301	0.000015
1	13	0302	0.000001
1	13	0401	0.000077
1	13	0402	0.000002
1	13	0403	0.000006
1	13	0404	0.000007
1	13	0405	0.000004
1	13	0408	0.000011
1	13	0416	0.000004
1	13	0701	0.00127
1	13	0801	0.000008
1	13	0802	0.000002
1	13	0803	0.000002
1	13	0804	0.000001
1	13	0810	0.000001
1	13	0901	0.000005
1	13	1001	0.000029
1	13	1101	0.000051
1	13	1102	0.000001
1	13	1103	0.000001
1	13	1104	0.00003
1	13	1106	0
1	13	1108	0
1	13	1111	0
1	13	1201	0.000032
1	13	1202	0.000002
1	13	1301	0.000021
1	13	1302	0.000033
1	13	1303	0.000004
1	13	1312	0
1	13	1324	0
1	13	1401	0.000029
1	13	1403	0
1	13	1404	0
1	13	1406	0
1	13	1501	0.000111
1	13	1502	0
1	13	1503	0
1	13	1509	0
1	13	1601	0.000004
1	13	1602	0
1	13	1603	0
1	14	0101	0.000083
1	14	0102	0.000307
1	14	0103	0.00002
1	14	0104	0
1	14	0301	0.000197
1	14	0302	0.000001
1	14	0401	0.000038
1	14	0402	0.000001
1	14	0403	0.000006
1	14	0404	0.000036
1	14	0405	0.000003
1	14	0406	0.000002
1	14	0408	0
1	14	0411	0
1	14	0413	0
1	14	0414	0
1	14	0416	0
1	14	0426	0
1	14	0433	0
1	14	0701	0.000671
1	14	0801	0.000001
1	14	0802	0.000001
1	14	0803	0.000004
1	14	0804	0.000001
1	14	0806	0.000001
1	14	0807	0
1	14	0901	0.000018
1	14	1001	0.000007
1	14	1101	0.000035
1	14	1102	0.000003
1	14	1103	0.000008
1	14	1104	0.000012
1	14	1112	0
1	14	1201	0.000014
1	14	1202	0
1	14	1301	0.000015
1	14	1302	0.000219
1	14	1303	0.000093
1	14	1304	0
1	14	1305	0.000001
1	14	1307	0
1	14	1308	0.000002
1	14	1325	0
1	14	1401	0.000011
1	14	1402	0
1	14	1403	0
1	14	1404	0
1	14	1405	0
1	14	1406	0.000001
1	14	1408	0
1	14	1501	0.000134
1	14	1502	0
1	14	1503	0
1	14	1506	0
1	14	1601	0.000006
1	14	1602	0.000001
1	14	1603	0
1	18	0101	0.000094
1	18	0102	0
1	18	0103	0.000018
1	18	0301	0.000374
1	18	0302	0
1	18	0401	0.000081
1	18	0402	0.000003
1	18	0403	0.000117
1	18	0404	0.000066
1	18	0405	0.000004
1	18	0406	0
1	18	0407	0.000005
1	18	0408	0.000006
1	18	0411	0
1	18	0413	0
1	18	0414	0
1	18	0417	0
1	18	0701	0.000088
1	18	0801	0.000043
1	18	0802	0
1	18	0803	0.000006
1	18	0804	0.000001
1	18	0901	0.000049
1	18	1001	0.000023
1	18	1101	0.000162
1	18	1102	0.000005
1	18	1103	0.000008
1	18	1104	0.000703
1	18	1109	0.000001
1	18	1113	0.000001
1	18	1201	0.000031
1	18	1202	0
1	18	1301	0.000048
1	18	1302	0.000025
1	18	1303	0.000005
1	18	1304	0
1	18	1305	0.000003
1	18	1401	0.000069
1	18	1402	0
1	18	1404	0.000001
1	18	1405	0
1	18	1407	0
1	18	1408	0
1	18	1409	0
1	18	1418	0
1	18	1424	0
1	18	1501	0.000282
1	18	1502	0
1	18	1503	0.000001
1	18	1506	0
1	18	1601	0.000012
1	18	1602	0.000005
1	27	0101	0.000419
1	27	0102	0.000001
1	27	0103	0.000089
1	27	0105	0.000001
1	27	0301	0.000126
1	27	0302	0
1	27	0401	0.000221
1	27	0403	0.000047
1	27	0404	0.000151
1	27	0405	0.000004
1	27	0406	0
1	27	0407	0.000006
1	27	0408	0.000026
1	27	0701	0.000092
1	27	0801	0.000077
1	27	0802	0
1	27	0803	0.000001
1	27	0804	0.00001
1	27	0805	0.000001
1	27	0806	0
1	27	0901	0.000041
1	27	1001	0.000005
1	27	1101	0.000195
1	27	1102	0.000016
1	27	1103	0.000003
1	27	1104	0.000019
1	27	1113	0
1	27	1201	0.00004
1	27	1202	0.000002
1	27	1301	0.000099
1	27	1302	0.000013
1	27	1303	0.000001
1	27	1304	0
1	27	1308	0
1	27	1310	0.000001
1	27	1342	0.000001
1	27	1401	0.000072
1	27	1404	0
1	27	1406	0
1	27	1407	0
1	27	1425	0
1	27	1501	0.000176
1	27	1502	0
1	27	1503	0
1	27	1601	0.000064
1	27	1602	0
1	35	0101	0.00114
1	35	0102	0.000084
1	35	0103	0.000337
1	35	0301	0.000149
1	35	0302	0
1	35	0304	0
1	35	0401	0.000102
1	35	0402	0.000087
1	35	0403	0.000203
1	35	0404	0.000072
1	35	0405	0.000021
1	35	0406	0
1	35	0407	0.000085
1	35	0408	0.000035
1	35	0415	0
1	35	0701	0.000305
1	35	0801	0.000118
1	35	0802	0.000001
1	35	0803	0.000001
1	35	0804	0.000035
1	35	0806	0
1	35	0810	0.000001
1	35	0901	0.000014
1	35	1001	0.000234
1	35	1101	0.000308
1	35	1102	0.00001
1	35	1103	0.00006
1	35	1104	0.00263
1	35	1106	0
1	35	1107	0
1	35	1108	0
1	35	1112	0.000008
